Indicator,Country,Date,value
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,10/03/2015,3285
Cumulative number of confirmed Ebola cases,Guinea,10/03/2015,2871
Cumulative number of probable Ebola cases,Guinea,10/03/2015,392
Cumulative number of suspected Ebola cases,Guinea,10/03/2015,22
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,10/03/2015,2170
Cumulative number of confirmed Ebola deaths,Guinea,10/03/2015,1778
Cumulative number of probable Ebola deaths,Guinea,10/03/2015,392
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,10/03/2015,9343
Cumulative number of confirmed Ebola cases,Liberia,10/03/2015,3150
Cumulative number of probable Ebola cases,Liberia,10/03/2015,1879
Cumulative number of suspected Ebola cases,Liberia,10/03/2015,4314
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,10/03/2015,4162
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,10/03/2015,11619
Cumulative number of confirmed Ebola cases,Sierra Leone,10/03/2015,8428
Cumulative number of probable Ebola cases,Sierra Leone,10/03/2015,287
Cumulative number of suspected Ebola cases,Sierra Leone,10/03/2015,2904
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,10/03/2015,3629
Cumulative number of confirmed Ebola deaths,Sierra Leone,10/03/2015,3263
Cumulative number of probable Ebola deaths,Sierra Leone,10/03/2015,208
Cumulative number of suspected Ebola deaths,Sierra Leone,10/03/2015,158
Cumulative number of confirmed Ebola cases,United Kingdom,10/03/2015,1
Cumulative number of probable Ebola cases,United Kingdom,10/03/2015,0
Cumulative number of suspected Ebola cases,United Kingdom,10/03/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,10/03/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,10/03/2015,1
Cumulative number of confirmed Ebola cases,Mali,10/03/2015,7
Cumulative number of probable Ebola cases,Mali,10/03/2015,1
Cumulative number of suspected Ebola cases,Mali,10/03/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,10/03/2015,6
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,10/03/2015,8
Cumulative number of confirmed Ebola cases,Nigeria,10/03/2015,19
Cumulative number of probable Ebola cases,Nigeria,10/03/2015,1
Cumulative number of suspected Ebola cases,Nigeria,10/03/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,10/03/2015,20
Cumulative number of confirmed Ebola cases,Senegal,10/03/2015,1
Cumulative number of probable Ebola cases,Senegal,10/03/2015,0
Cumulative number of suspected Ebola cases,Senegal,10/03/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,10/03/2015,1
Cumulative number of confirmed Ebola cases,Spain,10/03/2015,1
Cumulative number of probable Ebola cases,Spain,10/03/2015,0
Cumulative number of suspected Ebola cases,Spain,10/03/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,10/03/2015,1
Cumulative number of confirmed Ebola cases,United States of America,10/03/2015,4
Cumulative number of probable Ebola cases,United States of America,10/03/2015,0
Cumulative number of suspected Ebola cases,United States of America,10/03/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,10/03/2015,4
Cumulative number of confirmed Ebola deaths,Nigeria,10/03/2015,7
Cumulative number of probable Ebola deaths,Nigeria,10/03/2015,1
Cumulative number of suspected Ebola deaths,Nigeria,10/03/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,10/03/2015,8
Cumulative number of confirmed Ebola deaths,Senegal,10/03/2015,0
Cumulative number of probable Ebola deaths,Senegal,10/03/2015,0
Cumulative number of suspected Ebola deaths,Senegal,10/03/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,10/03/2015,0
Cumulative number of confirmed Ebola deaths,Spain,10/03/2015,0
Cumulative number of probable Ebola deaths,Spain,10/03/2015,0
Cumulative number of suspected Ebola deaths,Spain,10/03/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,10/03/2015,0
Cumulative number of confirmed Ebola deaths,United States of America,10/03/2015,1
Cumulative number of probable Ebola deaths,United States of America,10/03/2015,0
Cumulative number of suspected Ebola deaths,United States of America,10/03/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,10/03/2015,1
Cumulative number of confirmed Ebola cases,United Kingdom,06/03/2015,1
Cumulative number of probable Ebola cases,United Kingdom,06/03/2015,0
Cumulative number of suspected Ebola cases,United Kingdom,06/03/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,06/03/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,06/03/2015,3248
Cumulative number of confirmed Ebola cases,Guinea,06/03/2015,2840
Cumulative number of probable Ebola cases,Guinea,06/03/2015,392
Cumulative number of suspected Ebola cases,Guinea,06/03/2015,16
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,06/03/2015,2147
Cumulative number of confirmed Ebola deaths,Guinea,06/03/2015,1755
Cumulative number of probable Ebola deaths,Guinea,06/03/2015,392
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,06/03/2015,9249
Cumulative number of confirmed Ebola cases,Liberia,06/03/2015,3150
Cumulative number of probable Ebola cases,Liberia,06/03/2015,1877
Cumulative number of suspected Ebola cases,Liberia,06/03/2015,4222
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,06/03/2015,4117
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,06/03/2015,11517
Cumulative number of confirmed Ebola cases,Sierra Leone,06/03/2015,8389
Cumulative number of probable Ebola cases,Sierra Leone,06/03/2015,287
Cumulative number of suspected Ebola cases,Sierra Leone,06/03/2015,2841
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,06/03/2015,3576
Cumulative number of confirmed Ebola deaths,Sierra Leone,06/03/2015,3210
Cumulative number of probable Ebola deaths,Sierra Leone,06/03/2015,208
Cumulative number of suspected Ebola deaths,Sierra Leone,06/03/2015,158
"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,06/03/2015,1
Cumulative number of confirmed Ebola cases,Mali,06/03/2015,7
Cumulative number of probable Ebola cases,Mali,06/03/2015,1
Cumulative number of suspected Ebola cases,Mali,06/03/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,06/03/2015,6
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,06/03/2015,8
Cumulative number of confirmed Ebola cases,Nigeria,06/03/2015,19
Cumulative number of probable Ebola cases,Nigeria,06/03/2015,1
Cumulative number of suspected Ebola cases,Nigeria,06/03/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,06/03/2015,20
Cumulative number of confirmed Ebola cases,Senegal,06/03/2015,1
Cumulative number of probable Ebola cases,Senegal,06/03/2015,0
Cumulative number of suspected Ebola cases,Senegal,06/03/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,06/03/2015,1
Cumulative number of confirmed Ebola cases,Spain,06/03/2015,1
Cumulative number of probable Ebola cases,Spain,06/03/2015,0
Cumulative number of suspected Ebola cases,Spain,06/03/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,06/03/2015,1
Cumulative number of confirmed Ebola cases,United States of America,06/03/2015,4
Cumulative number of probable Ebola cases,United States of America,06/03/2015,0
Cumulative number of suspected Ebola cases,United States of America,06/03/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,06/03/2015,4
Cumulative number of confirmed Ebola deaths,Nigeria,06/03/2015,7
Cumulative number of probable Ebola deaths,Nigeria,06/03/2015,1
Cumulative number of suspected Ebola deaths,Nigeria,06/03/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,06/03/2015,8
Cumulative number of confirmed Ebola deaths,Senegal,06/03/2015,0
Cumulative number of probable Ebola deaths,Senegal,06/03/2015,0
Cumulative number of suspected Ebola deaths,Senegal,06/03/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,06/03/2015,0
Cumulative number of confirmed Ebola deaths,Spain,06/03/2015,0
Cumulative number of probable Ebola deaths,Spain,06/03/2015,0
Cumulative number of suspected Ebola deaths,Spain,06/03/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,06/03/2015,0
Cumulative number of confirmed Ebola deaths,United States of America,06/03/2015,1
Cumulative number of probable Ebola deaths,United States of America,06/03/2015,0
Cumulative number of suspected Ebola deaths,United States of America,06/03/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,06/03/2015,1
Cumulative number of confirmed Ebola cases,United Kingdom,05/03/2015,1
Cumulative number of probable Ebola cases,United Kingdom,05/03/2015,0
Cumulative number of suspected Ebola cases,United Kingdom,05/03/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,05/03/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,05/03/2015,3237
Cumulative number of confirmed Ebola cases,Guinea,05/03/2015,2833
Cumulative number of probable Ebola cases,Guinea,05/03/2015,392
Cumulative number of suspected Ebola cases,Guinea,05/03/2015,12
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,05/03/2015,2141
Cumulative number of confirmed Ebola deaths,Guinea,05/03/2015,1749
Cumulative number of probable Ebola deaths,Guinea,05/03/2015,392
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,05/03/2015,9249
Cumulative number of confirmed Ebola cases,Liberia,05/03/2015,3150
Cumulative number of probable Ebola cases,Liberia,05/03/2015,1877
Cumulative number of suspected Ebola cases,Liberia,05/03/2015,4222
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,05/03/2015,4117
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,05/03/2015,11497
Cumulative number of confirmed Ebola cases,Sierra Leone,05/03/2015,8383
Cumulative number of probable Ebola cases,Sierra Leone,05/03/2015,287
Cumulative number of suspected Ebola cases,Sierra Leone,05/03/2015,2827
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,05/03/2015,3565
Cumulative number of confirmed Ebola deaths,Sierra Leone,05/03/2015,3199
Cumulative number of probable Ebola deaths,Sierra Leone,05/03/2015,208
Cumulative number of suspected Ebola deaths,Sierra Leone,05/03/2015,158
"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,05/03/2015,1
Cumulative number of confirmed Ebola cases,Mali,05/03/2015,7
Cumulative number of probable Ebola cases,Mali,05/03/2015,1
Cumulative number of suspected Ebola cases,Mali,05/03/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,05/03/2015,6
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,05/03/2015,8
Cumulative number of confirmed Ebola cases,Nigeria,05/03/2015,19
Cumulative number of probable Ebola cases,Nigeria,05/03/2015,1
Cumulative number of suspected Ebola cases,Nigeria,05/03/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,05/03/2015,20
Cumulative number of confirmed Ebola cases,Senegal,05/03/2015,1
Cumulative number of probable Ebola cases,Senegal,05/03/2015,0
Cumulative number of suspected Ebola cases,Senegal,05/03/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,05/03/2015,1
Cumulative number of confirmed Ebola cases,Spain,05/03/2015,1
Cumulative number of probable Ebola cases,Spain,05/03/2015,0
Cumulative number of suspected Ebola cases,Spain,05/03/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,05/03/2015,1
Cumulative number of confirmed Ebola cases,United States of America,05/03/2015,4
Cumulative number of probable Ebola cases,United States of America,05/03/2015,0
Cumulative number of suspected Ebola cases,United States of America,05/03/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,05/03/2015,4
Cumulative number of confirmed Ebola deaths,Nigeria,05/03/2015,7
Cumulative number of probable Ebola deaths,Nigeria,05/03/2015,1
Cumulative number of suspected Ebola deaths,Nigeria,05/03/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,05/03/2015,8
Cumulative number of confirmed Ebola deaths,Senegal,05/03/2015,0
Cumulative number of probable Ebola deaths,Senegal,05/03/2015,0
